nom,lat,lon,comarca,altitud,temperatura,temp_max,temp_min,humitat,precipitacio,vent,data
Albesa,41.76034,0.67022,Noguera,268,30.3,30.3,15.6,41.0,0.0,,2026-05-31T11:00:00.000
Alcarràs,41.56505,0.55029,Segrià,125,29.1,29.1,14.4,45.0,0.0,,2026-05-31T11:00:00.000
Aldover,40.85936,0.50525,Baix Ebre,53,32.1,32.1,18.7,33.0,0.0,,2026-05-31T11:00:00.000
Alfarràs,41.81952,0.57767,Segrià,269,29.5,29.5,16.8,38.0,0.0,,2026-05-31T11:00:00.000
Algerri,41.80106,0.64801,Noguera,301,28.5,28.5,17.9,39.0,0.0,,2026-05-31T11:00:00.000
Alguaire,41.7428,0.53578,Segrià,371,28.4,28.4,17.7,40.0,0.0,3.1,2026-05-31T11:00:00.000
Alinyà,42.17427,1.42769,Alt Urgell,1161,24.9,24.9,14.4,51.0,0.0,,2026-05-31T11:00:00.000
Amposta,40.70776,0.63211,Montsià,3,26.7,26.7,19.9,73.0,0.0,5.2,2026-05-31T11:00:00.000
Anglesola - Tornabous,41.68834,1.04477,Urgell,292,27.3,27.3,13.6,52.0,0.0,,2026-05-31T11:00:00.000
Anglès,41.96093,2.6311,Selva,151,29.6,29.6,14.3,42.0,0.0,3.1,2026-05-31T11:00:00.000
Artés,41.79424,1.93683,Bages,287,31.9,31.9,13.1,31.0,0.0,,2026-05-31T11:00:00.000
Ascó,41.1964,0.51101,Ribera d'Ebre,258,30.0,30.0,17.9,33.0,0.0,,2026-05-31T11:00:00.000
Badalona - Museu,41.45215,2.24757,Barcelonès,42,23.3,23.7,21.1,80.0,0.0,,2026-05-31T11:00:00.000
Baldomar,41.92173,1.02901,Noguera,366,29.1,29.1,14.5,40.0,0.0,,2026-05-31T11:00:00.000
Banyoles,42.11655,2.78971,Pla de l'Estany,178,29.5,29.5,18.3,43.0,0.0,2.6,2026-05-31T11:00:00.000
Barcelona - Observatori Fabra,41.41864,2.12379,Barcelonès,410,27.6,27.6,21.1,47.0,0.0,2.5,2026-05-31T11:00:00.000
Barcelona - Zona Universitària,41.37922,2.10537,Barcelonès,82,27.9,27.9,19.7,48.0,0.0,2.4,2026-05-31T11:00:00.000
Barcelona - el Raval,41.38386,2.16774,Barcelonès,33,25.7,25.7,22.0,60.0,0.0,2.4,2026-05-31T11:00:00.000
Batea,41.08318,0.31694,Terra Alta,403,28.2,28.2,17.3,35.0,0.0,,2026-05-31T11:00:00.000
Benissanet,41.06303,0.6355,Ribera d'Ebre,34,31.7,31.7,16.5,35.0,0.0,1.6,2026-05-31T11:00:00.000
Blancafort,41.44237,1.15998,Conca de Barberà,437,31.4,31.4,13.4,31.0,0.0,,2026-05-31T11:00:00.000
Bonabé (1.691 m),42.75094,1.07527,Pallars Sobirà,1691,22.0,22.1,10.0,28.0,0.0,,2026-05-31T11:00:00.000
Bonaigua (2.262 m),42.64691,0.98486,Pallars Sobirà,2262,16.2,16.4,8.7,39.0,0.0,,2026-05-31T11:00:00.000
Boí (2.537 m),42.46603,0.88403,Alta Ribagorça,2537,13.9,13.9,8.6,40.0,0.0,,2026-05-31T11:00:00.000
Cabanes,42.32038,2.9564,Alt Empordà,35,29.3,29.3,14.7,50.0,0.0,,2026-05-31T11:00:00.000
Cabrils,41.51773,2.37702,Maresme,81,25.8,25.8,17.4,55.0,0.0,2.7,2026-05-31T11:00:00.000
Cadí Nord (2.145 m) - Prat d'Aguiló,42.29265,1.71498,Cerdanya,2145,16.8,16.8,9.5,50.0,0.0,2.0,2026-05-31T11:00:00.000
Caldes de Montbui,41.61264,2.1683,Vallès Oriental,177,29.5,29.5,16.2,35.0,0.0,4.0,2026-05-31T11:00:00.000
Camarasa,41.9178,0.88175,Noguera,669,26.7,26.7,15.6,47.0,0.0,,2026-05-31T11:00:00.000
